"Genes"	"logFC: 2M WT vs 2M HET"	"FDR: 2M WT vs 2M HET"	"logFC: 6M WT vs 6M HET"	"FDR: 6M WT vs 6M HET"	"logFC: 18M WT vs 18M HET"	"FDR: 18M WT vs 18M HET"	"logFC: 24M WT vs 24M HET"	"FDR: 24M WT vs 24M HET"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000017721"	-0.042851343473489	0.93421488353402	-0.00367952503237549	0.999744995548852	0.0387550725032301	0.961753665112754	0.173175921596175	0.206793223821661	"Pigt"	"phosphatidylinositol glycan anchor biosynthesis, class T"
"ENSMUSG00000017723"	-0.138412063545809	0.970183993682415	1.02228349288689	0.999744995548852	-0.492351479590491	0.858116611041951	0.487063559931227	0.67819484311997	"Wfdc2"	"WAP four-disulfide core domain 2"
"ENSMUSG00000017724"	-0.0781383221354146	0.94980784705222	-0.125938770411251	0.999744995548852	-0.175473600600757	0.910648846266031	-0.160834396747552	0.791115566769055	"Etv4"	"ets variant 4"
"ENSMUSG00000017734"	-0.103133740674434	0.748894723595217	-0.0685869767824595	0.999744995548852	-0.169866979990169	0.322180340221291	0.193196389295879	0.113360938839058	"Dbndd2"	"dysbindin (dystrobrevin binding protein 1) domain containing 2"
"ENSMUSG00000017737"	-0.239052994629551	0.935041400837555	0.076122852420502	0.999744995548852	0.0251384558641473	0.996003349235147	-0.0142382764459018	0.992242812288966	"Mmp9"	"matrix metallopeptidase 9"
"ENSMUSG00000017740"	0.0920296745728259	0.609889218659367	-0.0360070690448875	0.999744995548852	-0.0486115601004626	0.883651929680992	-0.0581987487171591	0.603544975530518	"Slc12a5"	"solute carrier family 12, member 5"
"ENSMUSG00000017747"	0.0106993192274644	0.994177081781964	-0.0367222365788608	0.999744995548852	0.0211810661872997	0.989899464136057	0.0595703017178399	0.894813020913068	"Ghdc"	"GH3 domain containing"
"ENSMUSG00000017754"	-0.0559936829348401	0.938679999264909	-0.0744420600269172	0.999744995548852	0.267800986698974	0.276829201108989	0.04622272142801	0.895302455146977	"Pltp"	"phospholipid transfer protein"
"ENSMUSG00000017756"	0.0170454408631895	0.993774974381892	-0.150927011694893	0.999744995548852	0.577959513394391	0.148812653744364	-0.0425662189719795	0.947203452999516	"Slc12a7"	"solute carrier family 12, member 7"
"ENSMUSG00000017760"	-0.0123756965007768	0.980056223593372	-0.0108247758074814	0.999744995548852	0.220845912493273	0.00914266249334204	0.191661605741105	0.0349068152558869	"Ctsa"	"cathepsin A"
"ENSMUSG00000017764"	0.080496434192613	0.910530407566019	-0.0957060893077557	0.999744995548852	0.0848723469122487	0.930327229223518	-0.0631013858901688	0.848108307407179	"Zswim1"	"zinc finger SWIM-type containing 1"
"ENSMUSG00000017765"	-0.303983940160368	0.153025922136542	-0.303213927228942	0.999744995548852	0.172097212500851	0.589400029028196	-0.111027776541616	0.652159252042458	"Slc12a4"	"solute carrier family 12, member 4"
"ENSMUSG00000017774"	0.12844720357211	0.818690391794479	-0.0784282808447769	0.999744995548852	0.101752711366281	0.899584853341595	0.201728464888087	0.334716289714978	"Myo1c"	"myosin IC"
"ENSMUSG00000017776"	-0.0991636992001789	0.764170143539793	0.0302895970876014	0.999744995548852	-0.0302563529276006	0.971197567880931	-0.140830574702853	0.307555066709638	"Crk"	"v-crk sarcoma virus CT10 oncogene homolog (avian)"
"ENSMUSG00000017778"	-0.181864526193024	0.781459665482719	0.00942710881001301	0.999744995548852	-0.119997171090988	0.923766315392661	0.055673397903197	0.908422321385436	"Cox7c"	"cytochrome c oxidase subunit 7C, mitochondrial"
"ENSMUSG00000017781"	-0.0069167145196829	0.990040168889109	0.0645794363504219	0.999744995548852	-0.0825492024736136	0.711065817082652	-0.0309787075372659	0.838795174643929	"Pitpna"	"phosphatidylinositol transfer protein, alpha"
"ENSMUSG00000017801"	-0.0788542428382705	0.904506057818274	-0.041876752192557	0.999744995548852	-0.0817121283021302	0.927889454548654	0.0311768957390099	0.930790693805846	"Mlx"	"MAX-like protein X"
"ENSMUSG00000017802"	-0.130819408449239	0.644157989962529	-0.0294848094471453	0.999744995548852	-0.0903436401822944	0.834797350080507	-0.0057067000734864	0.983990581556917	"Fam134c"	"family with sequence similarity 134, member C"
"ENSMUSG00000017817"	-0.41988253825299	0.84324197008954	-0.128732254037279	0.999744995548852	0.0410908377170025	0.994361787637319	-0.245443348112943	0.853912117087705	"Jph2"	"junctophilin 2"
"ENSMUSG00000017830"	-0.228772264400628	0.895079320416328	-0.0815816547824734	0.999744995548852	0.177548512931501	0.943537646700459	0.563315726455347	0.358924951904098	"Dhx58"	"DEXH (Asp-Glu-X-His) box polypeptide 58"
"ENSMUSG00000017831"	0.00970646993646804	0.987821103717723	-0.0200135979092193	0.999744995548852	-0.0444516856062064	0.94280746102496	-0.15428947286544	0.195073395136539	"Rab5a"	"RAB5A, member RAS oncogene family"
"ENSMUSG00000017837"	-0.142328412409687	0.820091111301047	-0.0301616516650151	0.999744995548852	0.111532510764005	0.924593299985859	0.123032492404427	0.74879136112731	"Nkiras2"	"NFKB inhibitor interacting Ras-like protein 2"
"ENSMUSG00000017843"	-0.0812606336489672	0.764170143539793	-0.056964018471655	0.999744995548852	-0.0558709761242692	0.895641889290203	-0.138872965622769	0.195073395136539	"Ppp2r5c"	"protein phosphatase 2, regulatory subunit B', gamma"
"ENSMUSG00000017858"	0.00352194477397421	0.997082424707747	0.126874916465515	0.999744995548852	0.0681970655195905	0.93080003875414	-0.0306758994014648	0.918594026931685	"Ift52"	"intraflagellar transport 52"
"ENSMUSG00000017861"	0.00581845331648444	0.999571013047941	0.277922516085271	0.999744995548852	0.970637727940295	0.511004931098074	0.377586862916368	0.769832243587923	"Mybl2"	"myeloblastosis oncogene-like 2"
"ENSMUSG00000017868"	-0.391223643811096	0.650388215890312	0.35061438904348	0.999744995548852	0.239933349667356	0.899584853341595	-0.0249781568858086	0.982336259131779	"Sgk2"	"serum/glucocorticoid regulated kinase 2"
"ENSMUSG00000017897"	0.0721357743814322	0.980056223593372	0.354425254915862	0.999744995548852	0.488504342940826	0.756428929884828	0.0249162875392772	0.983589962705001	"Eya2"	"eyes absent 2 homolog (Drosophila)"
"ENSMUSG00000017929"	-0.00320054948032163	0.997082424707747	-0.0963927192617799	0.999744995548852	0.0526521861159965	0.943537646700459	0.038455644522592	0.882231165779957	"B4galt5"	"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5"
"ENSMUSG00000017943"	-0.0564728724304162	0.909492907603734	0.0117694597643246	0.999744995548852	0.0604898696149362	0.929193868854149	0.0561284710469428	0.797229382465222	"Gdap1l1"	"ganglioside-induced differentiation-associated protein 1-like 1"
"ENSMUSG00000017969"	-0.0334472640550494	0.986651043769518	-0.154517031106256	0.999744995548852	0.560372318438397	0.297695445160526	0.128691718540458	0.832996268705317	"Ptgis"	"prostaglandin I2 (prostacyclin) synthase"
"ENSMUSG00000017978"	0.0959320199315007	0.786752615781855	-0.0772474234324459	0.999744995548852	-0.0225215523636344	0.977421032238354	-0.089506937937945	0.595975916705452	"Cadps2"	"Ca2+-dependent activator protein for secretion 2"
"ENSMUSG00000017999"	0.0247171463198462	0.977660972289331	-0.0127261371179265	0.999744995548852	0.126866513252663	0.84299099743447	0.0120600164681246	0.976094750618684	"Ddx27"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 27"
"ENSMUSG00000018001"	-0.0727871917360775	0.885648798604046	0.134197171933229	0.999744995548852	-0.0796391531279973	0.890786048142045	0.0625213956544793	0.789327590460387	"Cyth3"	"cytohesin 3"
"ENSMUSG00000018008"	0.201899483327556	0.822026103900476	0.0873531717290143	0.999744995548852	0.555048337497265	0.0471614131623131	0.432435061191417	0.137152411330608	"Cyth4"	"cytohesin 4"
"ENSMUSG00000018012"	-0.0248886903949682	0.984501119074788	-0.0513669457946077	0.999744995548852	0.0986676130095571	0.94105281824558	-0.0761052755812858	0.862318514209502	"Rac3"	"RAS-related C3 botulinum substrate 3"
"ENSMUSG00000018040"	0.0507563894504201	0.928443556752692	-0.085860410649749	0.999744995548852	-0.0600282736178292	0.941522903704544	-0.134575611642737	0.488565135296418	"Rrp7a"	"ribosomal RNA processing 7 homolog A (S. cerevisiae)"
"ENSMUSG00000018042"	0.0365582360852556	0.943011230077711	-0.0873327008950766	0.999744995548852	0.12035869931296	0.689113311563769	0.28610732575618	0.00570357970890561	"Cyb5r3"	"cytochrome b5 reductase 3"
"ENSMUSG00000018068"	0.160678138499167	0.703245100007969	0.0915858408405539	0.999744995548852	-0.0653399794623809	0.943537646700459	0.0068663898333592	0.985414214554831	"Ints2"	"integrator complex subunit 2"
"ENSMUSG00000018076"	0.131529008062324	0.527860550077914	-0.0263122482451574	0.999744995548852	-0.0521871493552981	0.920854249823059	0.013236194633009	0.949244598087351	"Med13l"	"mediator complex subunit 13-like"
"ENSMUSG00000018102"	-0.343696755973273	0.50016730061047	0.0441699281273681	0.999744995548852	-0.27887237494587	0.613115134154238	0.0875775893334511	0.863208439761792	"Hist1h2bc"	"histone cluster 1, H2bc"
"ENSMUSG00000018126"	-0.501807985937383	0.749728451809181	-0.308871468496592	0.999744995548852	0.201927736783132	0.943537646700459	0.294602623131854	0.734220703073768	"Baiap2l2"	"BAI1-associated protein 2-like 2"
"ENSMUSG00000018143"	-0.0374958237273344	0.974676327751168	-0.148639965622853	0.999744995548852	-0.0914019222128712	0.943537646700459	0.084846254608613	0.844546923918947	"Mafk"	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)"
"ENSMUSG00000018160"	0.0133435961834102	0.982379352865945	0.0312032282524276	0.999744995548852	0.0181327882987676	0.982081617306668	-0.0137170759206219	0.954235014389181	"Med1"	"mediator complex subunit 1"
"ENSMUSG00000018166"	-0.360241240482927	0.613893973506324	-0.024599130326617	0.999744995548852	-0.103930491272542	0.958598206231255	0.0271617972023064	0.969275733243724	"Erbb3"	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)"
"ENSMUSG00000018167"	0.0801796112568242	0.912833214108241	0.0695942924043807	0.999744995548852	-0.101433514454291	0.907677731424526	0.125506320876262	0.667041918949475	"Stard3"	"START domain containing 3"
"ENSMUSG00000018169"	-0.436548966871784	0.418241569960079	-0.037712778616733	0.999744995548852	0.322191681405147	0.653997148133218	0.358810615012533	0.362194152285517	"Mfng"	"MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"ENSMUSG00000018171"	-0.131874914232177	0.50016730061047	0.00949998680913233	0.999744995548852	-0.0819095692418306	0.807179107509451	-0.147585749025323	0.194249790784874	"Vmp1"	"vacuole membrane protein 1"
"ENSMUSG00000018189"	0.0209090503766109	0.982894783318601	0.0977240664742138	0.999744995548852	-0.053640085239183	0.963728522693927	0.000436893442418817	0.998846345672045	"Uchl5"	"ubiquitin carboxyl-terminal esterase L5"
"ENSMUSG00000018196"	-0.0140423999342238	0.978483004687392	0.0270492815047545	0.999744995548852	-0.0839625836258839	0.797637008283473	-0.0227849178085779	0.91609370052116	"Glrx2"	"glutaredoxin 2 (thioltransferase)"
"ENSMUSG00000018199"	-0.041684531503131	0.935041400837555	0.0536835540658787	0.999744995548852	0.0238374057597184	0.977421032238354	-0.126374866949227	0.421072578674876	"Trove2"	"TROVE domain family, member 2"
"ENSMUSG00000018209"	-0.0387443331766548	0.946003270621102	0.0247037883792994	0.999744995548852	-0.0816955182369179	0.895746930560934	-0.0961429338156717	0.66028920911166	"Stk4"	"serine/threonine kinase 4"
"ENSMUSG00000018217"	-0.11267471696257	0.859567015944514	-0.0668221977484084	0.999744995548852	0.0619442511394756	0.951695214596033	0.0347529782469781	0.924044288202632	"Pmp22"	"peripheral myelin protein 22"
"ENSMUSG00000018238"	-0.0105942565989798	0.998616755252211	0.35291319504044	0.999744995548852	-0.373166911292385	0.93737929795322	-0.653489083145489	0.694598287562835	"Gdf9"	"growth differentiation factor 9"
"ENSMUSG00000018239"	-0.160632450043305	0.864785962641254	-0.227428280985689	0.999744995548852	-0.0956389365439486	0.943537646700459	-0.271895598807647	0.433538791495995	"Zcchc10"	"zinc finger, CCHC domain containing 10"
"ENSMUSG00000018286"	-0.0535008304880317	0.934155616881739	0.00910763588115248	0.999744995548852	-0.00981160242150802	0.992426261505759	-0.000592295334140048	0.998096188551379	"Psmb6"	"proteasome (prosome, macropain) subunit, beta type 6"
"ENSMUSG00000018287"	0.136729850446724	0.644157989962529	-0.0103127528766608	0.999744995548852	0.055734435707339	0.939463041728211	0.0644638856651381	0.774467933152459	"Spag7"	"sperm associated antigen 7"
"ENSMUSG00000018293"	0.00544483324085057	0.994604212853155	-0.0097257301846947	0.999744995548852	-0.00200172259656875	0.99834401144297	0.239432533891222	0.0465905152256852	"Pfn1"	"profilin 1"
"ENSMUSG00000018322"	-0.171619694446284	0.292228331592831	0.0032446799194321	0.999744995548852	-0.017543181389922	0.980441220014753	0.0215117794266577	0.916300087208932	"Tomm34"	"translocase of outer mitochondrial membrane 34"
"ENSMUSG00000018326"	0.0334531392784437	0.910530407566019	0.0360915355190408	0.999744995548852	-0.00807929753149105	0.989679225089435	-0.0730933755958353	0.462997709809237	"Ywhab"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide"
"ENSMUSG00000018334"	0.0382103817748094	0.942070979248164	-0.03940292048662	0.999744995548852	-0.0483410274118087	0.943537646700459	0.144313520466623	0.330226635522899	"Ksr1"	"kinase suppressor of ras 1"
"ENSMUSG00000018339"	0.0903104990723803	0.922342726427371	-0.425502451729106	0.999744995548852	0.248166639418469	0.63625633089194	0.298342769465034	0.267961485068161	"Gpx3"	"glutathione peroxidase 3"
"ENSMUSG00000018340"	-0.0309506612738027	0.945462502989047	0.0557348668861912	0.999744995548852	0.0129873550500769	0.987609608844371	-0.0414118338552429	0.831456383776519	"Anxa6"	"annexin A6"
"ENSMUSG00000018341"	0.283219203037313	0.64247431189859	0.178714487074491	0.999744995548852	-0.0383008266373698	0.984881653634827	0.0266317884747874	0.963723936401478	"Il12rb2"	"interleukin 12 receptor, beta 2"
"ENSMUSG00000018347"	0.103942707530102	0.888151089755523	0.050435003137279	0.999744995548852	0.0290841031053353	0.984231211208779	0.11949332918738	0.716792281415038	"Zkscan6"	"zinc finger with KRAB and SCAN domains 6"
"ENSMUSG00000018362"	-0.0437382940991297	0.990955928432972	-0.41162977865125	0.999744995548852	0.583927357864849	0.681755559067202	0.275770978315511	0.776678468000125	"Kpna2"	"karyopherin (importin) alpha 2"
"ENSMUSG00000018363"	-0.0293945172354948	0.957934160859341	0.0589237645327166	0.999744995548852	0.0196938172753259	0.986131136184366	0.00483902100687162	0.988479921508661	"Smurf2"	"SMAD specific E3 ubiquitin protein ligase 2"
"ENSMUSG00000018372"	0.318734734150943	0.473643595636611	0.021538342051686	0.999744995548852	-0.299954650133636	0.424724756068902	-0.130129014608258	0.746911337648037	"Cep95"	"centrosomal protein 95"
"ENSMUSG00000018378"	0.529386757947466	0.85915735759584	0.12941294133291	0.999744995548852	0.292628179888737	0.94848725353098	0.225100972218413	0.897058580105208	"Cuedc1"	"CUE domain containing 1"
"ENSMUSG00000018379"	-0.372224452933783	0.760763214325193	0.559031103409182	0.999744995548852	0.0883817135358877	0.97584340183069	0.46244994699236	0.421904899524169	"Srsf1"	"serine/arginine-rich splicing factor 1"
"ENSMUSG00000018381"	0.0173976127360508	0.997082424707747	0.0427802261302584	0.999744995548852	0.350418025584815	0.877227548243456	0.185569342183436	0.867753763164337	"Abi3"	"ABI gene family, member 3"
"ENSMUSG00000018387"	-0.258107370130135	0.738196343725984	-0.0211436148746924	0.999744995548852	0.180785499927872	0.878940234148108	0.118190703702478	0.815256329909533	"Shroom1"	"shroom family member 1"
"ENSMUSG00000018395"	0.0744854122328377	0.794779257023184	0.0138066026990522	0.999744995548852	-0.0154845396795844	0.982879064372997	-0.1144732494861	0.324541248661084	"Kif3a"	"kinesin family member 3A"
"ENSMUSG00000018398"	0.0205306864731439	0.947594507992089	-0.0420720588352144	0.999744995548852	-0.0462156490756921	0.892218371043625	-0.100032395915805	0.270897566839029	"Sept8"	"septin 8"
"ENSMUSG00000018401"	-0.102518665390996	0.727212860405056	-0.0909603481865438	0.999744995548852	-0.0590598838882791	0.917191878507731	-0.0231480774796668	0.919093341469089	"Mtmr4"	"myotubularin related protein 4"
"ENSMUSG00000018405"	-0.0358128025878163	0.967996488616053	0.226703506299322	0.999744995548852	-0.100741017482172	0.925114029240095	-0.0594069711051212	0.88682279036534	"Mrm1"	"mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)"
"ENSMUSG00000018411"	0.0293105606630573	0.934857292179402	0.020969722388615	0.999744995548852	0.0131707815045686	0.984067055006969	-0.10923931487053	0.262679182165612	"Mapt"	"microtubule-associated protein tau"
"ENSMUSG00000018412"	-0.00435468165613653	0.994177081781964	0.0665429257060897	0.999744995548852	0.053410922198788	0.88074038541039	-0.058217241427964	0.663598617388327	"Kansl1"	"KAT8 regulatory NSL complex subunit 1"
"ENSMUSG00000018415"	-0.120788909611287	0.644345846279607	-0.0362599226783083	0.999744995548852	-0.104406590893433	0.737283809628586	-0.0979510728256466	0.561499083770413	"Gid4"	"GID complex subunit 4, VID24 homolog (S. cerevisiae)"
"ENSMUSG00000018417"	0.0277695569304745	0.958596943945238	0.0325444579316579	0.999744995548852	-0.0256908637996936	0.977421032238354	-0.157940062300374	0.339058239920487	"Myo1b"	"myosin IB"
"ENSMUSG00000018425"	-0.0450075141703273	0.945905343826747	-0.0548119400564569	0.999744995548852	0.0764981578071154	0.929193868854149	-0.0548205702320199	0.853829731705446	"Dhx40"	"DEAH (Asp-Glu-Ala-His) box polypeptide 40"
"ENSMUSG00000018427"	-0.164347989698112	0.49529187312664	-0.013186642138077	0.999744995548852	-0.150446693961677	0.486480710718897	-0.166815758228447	0.26967650893121	"Ypel2"	"yippee-like 2 (Drosophila)"
"ENSMUSG00000018428"	0.0461839440673524	0.932370355036345	0.0329797795278411	0.999744995548852	0.00579277102682101	0.995020963009756	-0.130691693883729	0.461010876815841	"Akap1"	"A kinase (PRKA) anchor protein 1"
"ENSMUSG00000018433"	0.0396098924796025	0.946806924712614	0.0652769657673934	0.999744995548852	0.106939627799681	0.834797350080507	-0.00384684103319967	0.990987171767169	"Nol11"	"nucleolar protein 11"
"ENSMUSG00000018442"	0.0122627801585423	0.989777510150842	0.0273488066826295	0.999744995548852	-0.103292147353551	0.835917670565066	0.0131917788175095	0.967256972121522	"Derl2"	"Der1-like domain family, member 2"
"ENSMUSG00000018446"	-0.122973099553642	0.735167396876231	-0.0398901180511224	0.999744995548852	0.0461349206206858	0.951695214596033	0.117962245820827	0.518477469463794	"C1qbp"	"complement component 1, q subcomponent binding protein"
"ENSMUSG00000018449"	-0.164125019820709	0.816283509886044	-0.122519532501118	0.999744995548852	-0.0102857823264097	0.994868996234191	0.141989548441703	0.699598733087586	"Rpain"	"RPA interacting protein"
"ENSMUSG00000018451"	-0.000842697130470974	0.999053488619041	-0.0184543486821814	0.999744995548852	0.077382219610305	0.693952696208275	-0.0116293625859302	0.944026258005374	"6330403K07Rik"	""
"ENSMUSG00000018459"	-0.397314249315665	0.326743645738142	-0.148662908701741	0.999744995548852	0.312483648039987	0.444929373424941	0.0302699866241699	0.953476484285624	"Slc13a3"	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3"
"ENSMUSG00000018470"	0.131386162936787	0.756251889212439	-0.0702170499363765	0.999744995548852	-0.0636848425485628	0.941810603470407	0.0344553249147983	0.905891932010885	"Kcnab3"	"potassium voltage-gated channel, shaker-related subfamily, beta member 3"
"ENSMUSG00000018474"	0.0606337809586918	0.811554451594525	0.011187797283197	0.999744995548852	0.0383560619886544	0.93080003875414	-0.0214476220113702	0.892830353414066	"Chd3"	"chromodomain helicase DNA binding protein 3"
"ENSMUSG00000018476"	0.0779412797987096	0.914712234621975	-0.279037885586161	0.999744995548852	0.170348573221306	0.745112807848176	0.118953694387619	0.694871801466469	"Kdm6b"	"KDM1 lysine (K)-specific demethylase 6B"
"ENSMUSG00000018481"	-0.0108650908303926	0.985887052532298	-0.0219858797368565	0.999744995548852	-0.0215497555957288	0.97584340183069	-0.0680888811442077	0.667041918949475	"Appbp2"	"amyloid beta precursor protein (cytoplasmic tail) binding protein 2"
"ENSMUSG00000018486"	-0.168673049571051	0.952408630895593	-0.490671417884755	0.999744995548852	-0.646156361727981	0.738750786969118	-0.991945046663328	0.261462520795338	"Wnt9b"	"wingless-type MMTV integration site family, member 9B"
"ENSMUSG00000018500"	0.283642532021449	0.777057011789129	0.0725528691517318	0.999744995548852	-0.0769581502737897	0.97584340183069	0.157799768970196	0.834502018512188	"Adora2b"	"adenosine A2b receptor"
"ENSMUSG00000018501"	0.110737626278445	0.523851277856595	0.00302626515155252	0.999744995548852	-0.053340374539065	0.878940234148108	-0.0775250477562025	0.483303386158197	"Ncor1"	"nuclear receptor co-repressor 1"
"ENSMUSG00000018507"	0.0713768120900748	0.910530407566019	-0.0361284498915698	0.999744995548852	0.121196877818752	0.829131692577955	-0.114138672223676	0.658005278645614	"Trpv2"	"transient receptor potential cation channel, subfamily V, member 2"
"ENSMUSG00000018509"	-0.0658493501605504	0.94980784705222	-0.0323408504882425	0.999744995548852	-0.249258005455199	0.710158692593965	0.0834671017186821	0.871635234763283	"Cenpv"	"centromere protein V"
"ENSMUSG00000018537"	0.141527392047189	0.816283509886044	0.0873089735707105	0.999744995548852	0.108710518787563	0.898850461612531	0.239337379033123	0.281944850628899	"Pcgf2"	"polycomb group ring finger 2"
"ENSMUSG00000018541"	0.072366453479847	0.936447466221957	-0.022508767617484	0.999744995548852	-0.0886312915665008	0.943537646700459	-0.0964853941424824	0.808586352880629	"Cwc25"	"CWC25 spliceosome-associated protein homolog (S. cerevisiae)"
"ENSMUSG00000018547"	0.0395640730073563	0.914712234621975	-0.0244334850112391	0.999744995548852	0.000934802286436541	0.99834401144297	-0.0261314694561367	0.886514647781726	"Pip4k2b"	"phosphatidylinositol-5-phosphate 4-kinase, type II, beta"
"ENSMUSG00000018548"	0.00894599981189363	0.987223142631692	0.0474750300111278	0.999744995548852	-0.113338790369467	0.496878819285014	-0.181059743410245	0.0422681014370565	"Trim37"	"tripartite motif-containing 37"
"ENSMUSG00000018554"	0.098043265740022	0.956581549799952	0.306961908255699	0.999744995548852	0.26296361095563	0.876998032950378	-0.12109146748049	0.872684806845204	"Ybx2"	"Y box protein 2"
"ENSMUSG00000018559"	0.0889041875777696	0.850556499024833	0.0484201629830177	0.999744995548852	-0.0612327099602297	0.941810603470407	0.0227097612664447	0.940427007072908	"Ctdnep1"	"CTD nuclear envelope phosphatase 1"
"ENSMUSG00000018565"	-0.059681834620319	0.886059378043811	-0.0566017438689294	0.999744995548852	-0.0153949207057424	0.986809826676575	-0.089511425454193	0.58270714995416	"Elp5"	"elongator acetyltransferase complex subunit 5"
"ENSMUSG00000018566"	0.171683751887082	0.94980784705222	0.506819373686972	0.999744995548852	0.16153000394488	0.971197567880931	0.508620846901447	0.483542053617366	"Slc2a4"	"solute carrier family 2 (facilitated glucose transporter), member 4"
"ENSMUSG00000018567"	-0.0743966969071404	0.810809932085018	0.000368422227525767	0.999907589514652	0.0668015667549289	0.869616446903979	0.0510368973983175	0.763416073148264	"Gabarap"	"gamma-aminobutyric acid receptor associated protein"
"ENSMUSG00000018572"	-0.00698314609242416	0.99591767610261	-0.116120175018948	0.999744995548852	-0.00464928413686529	0.998177872072818	-0.0586535589687964	0.85896907769518	"Phf23"	"PHD finger protein 23"
"ENSMUSG00000018574"	-0.0893061101985996	0.8447012430028	-0.0472737981334403	0.999744995548852	0.0603122178363868	0.941732940268098	0.0388411002584583	0.893321065234181	"Acadvl"	"acyl-Coenzyme A dehydrogenase, very long chain"
"ENSMUSG00000018581"	0.0638850988872359	0.984870004659158	-0.420731086216546	0.999744995548852	1.06129561673953	0.137420042600745	-0.224066092027366	0.838888712621083	"Dnah11"	"dynein, axonemal, heavy chain 11"
"ENSMUSG00000018583"	-0.0910378265842441	0.783466909467244	-0.0666075463373494	0.999744995548852	0.0899308733534085	0.807179107509451	-0.0668042340786252	0.713866985593995	"G3bp1"	"GTPase activating protein (SH3 domain) binding protein 1"
"ENSMUSG00000018585"	-0.196689472217781	0.644157989962529	0.0227494573827808	0.999744995548852	0.0689232252884667	0.943537646700459	0.0827115323456065	0.807761881732733	"Atox1"	"ATX1 (antioxidant protein 1) homolog 1 (yeast)"
"ENSMUSG00000018589"	0.0996543065902355	0.896134528127048	-0.016582733305755	0.999744995548852	0.144916590519904	0.837847340945561	0.00807052410728388	0.986262043769583	"Glra2"	"glycine receptor, alpha 2 subunit"
"ENSMUSG00000018593"	-0.0445816757076381	0.945905343826747	-0.0917980229806751	0.999744995548852	0.139811581388152	0.763147874926949	0.21611443743916	0.217152818146518	"Sparc"	"secreted acidic cysteine rich glycoprotein"
"ENSMUSG00000018599"	-0.130822808564593	0.818808406889018	0.0261146289847652	0.999744995548852	0.187039279537388	0.691441319898218	-0.0246479508007795	0.950322019516916	"Mief2"	"mitochondrial elongation factor 2"
"ENSMUSG00000018604"	-0.297696829014661	0.867613909071625	-0.187347206522897	0.999744995548852	-0.165237193833639	0.958598206231255	0.247332151912269	0.791537885341889	"Tbx3"	"T-box 3"
"ENSMUSG00000018634"	-0.00094996971045989	0.999746801163303	0.0433631800340017	0.999744995548852	-0.118587817997714	0.87987513082838	-0.203728014896122	0.426409696136775	"Crhr1"	"corticotropin releasing hormone receptor 1"
"ENSMUSG00000018648"	-0.171581651486708	0.622482778845798	0.0525827489353241	0.999744995548852	-0.155168001300326	0.663957257626661	-0.174895178793767	0.376746979954599	"Dusp14"	"dual specificity phosphatase 14"
"ENSMUSG00000018651"	-0.038127568092468	0.950159885207402	0.107931936737443	0.999744995548852	-0.0403167088155125	0.969562096688355	-0.00226486498183003	0.994755159686792	"Tada2a"	"transcriptional adaptor 2A"
"ENSMUSG00000018654"	0.202280108137836	0.887439898575574	-0.271618813391767	0.999744995548852	0.562562911046845	0.312420295612131	0.693449919618113	0.0535427627449812	"Ikzf1"	"IKAROS family zinc finger 1"
"ENSMUSG00000018659"	0.0246766188299644	0.974689508823066	0.00972783460564028	0.999744995548852	-0.106926267331721	0.874737803042676	0.00099150773821565	0.997355367757936	"Pnpo"	"pyridoxine 5'-phosphate oxidase"
"ENSMUSG00000018661"	0.203655382696005	0.436208271832839	-0.0592736047056173	0.999744995548852	0.00955359151490602	0.992426261505759	-0.0513428262042414	0.839518485005348	"Cog1"	"component of oligomeric golgi complex 1"
"ENSMUSG00000018666"	-0.0633317839670043	0.910530407566019	0.0619771773493961	0.999744995548852	-0.077085503857125	0.922895778220914	-0.0949936834421628	0.697650586533962	"Cbx1"	"chromobox 1"
"ENSMUSG00000018669"	0.0525822264239837	0.938585746272621	-0.0396787257093937	0.999744995548852	0.246693364303737	0.301411292859882	0.0548753089925691	0.849033804308141	"Cdk5rap3"	"CDK5 regulatory subunit associated protein 3"
"ENSMUSG00000018672"	-0.100766331700485	0.955524780000908	0.0691704918297315	0.999744995548852	-0.0169566399680427	0.99583889516197	-0.265486148807439	0.724567363876209	"Copz2"	"coatomer protein complex, subunit zeta 2"
"ENSMUSG00000018677"	-0.088524363198585	0.884969315820894	-0.0844740086198645	0.999744995548852	0.0837092463086574	0.92449917439676	0.0352252128747335	0.915677615192089	"Slc25a39"	"solute carrier family 25, member 39"
"ENSMUSG00000018678"	0.288967080246409	0.40980094989707	0.0856477312672744	0.999744995548852	0.175717488996485	0.721864106213553	0.08225309509686	0.797126153237757	"Sp2"	"Sp2 transcription factor"
